URL,Name,Type,Subtype,Unique,Deck code ID,Card Set,Attribute(s),Magicka Cost,Power,Health,Rarity,Availability,Card Text
https://en.uesp.net/wiki/Legends%3AAgeless_Automaton,Ageless Automaton,Creature,Dwemer,False,ai,Core Set,Neutral,4,2,5,Rare,,"When Ageless Automaton attacks a Guard, it gains +3/+0 and Breakthrough this turn."
https://en.uesp.net/wiki/Legends%3AAgeless_Vampire,Ageless Vampire,Creature,Vampire,False,,Dark Brotherhood,Endurance,5,5,5,Rare,Created,Drain
https://en.uesp.net/wiki/Legends%3AAgent_of_Mehrunes_Dagon,Agent of Mehrunes Dagon,Creature,Imperial,False,zB,Jaws of Oblivion,Strength,2,3,2,Common,,"At the end of each turn, if you Invaded, Agent of Mehrunes Dagon gains +1/+1."
https://en.uesp.net/wiki/Legends%3AAggressive_Spider,Aggressive Spider,Creature,Spider,False,,Core Set,Agility,1,2,1,Common,Unobtainable,
https://en.uesp.net/wiki/Legends%3AAhnassi,Ahnassi,Creature,Khajiit,True,aj,Core Set,"Willpower, Agility",5,5,5,Legendary,,Summon: Ahnassi steals all Keywords from enemy creatures.
https://en.uesp.net/wiki/Legends%3AAlchemy,Alchemy,Action,,False,sv,Alliance War,Willpower,2,,,Epic,,Give your Activated supports 1 extra use.Empower: +1 use.
https://en.uesp.net/wiki/Legends%3AAld_Velothi_Assassin,Ald Velothi Assassin,Creature,Breton,False,ak,Houses of Morrowind,Endurance,2,1,2,Rare,,"Lethal, Rally"
https://en.uesp.net/wiki/Legends%3AAld%27ruhn_Arms_Master,Ald'ruhn Arms Master,Creature,Dark Elf,False,al,Houses of Morrowind,Strength,4,2,3,Rare,,"Charge, Rally"
https://en.uesp.net/wiki/Legends%3AAldmeri_Patriot,Aldmeri Patriot,Creature,High Elf,False,am,Core Set,Willpower,1,1,2,Rare,,Summon: +1/+1 if you have an action in your hand.
https://en.uesp.net/wiki/Legends%3AAldmeri_Spellwright,Aldmeri Spellwright,Creature,High Elf,False,Bm,Tamriel Collection,"Intelligence, Willpower, Agility",5,3,6,Epic,,"When your opponent takes damage, you gain 1 magicka this turn."
https://en.uesp.net/wiki/Legends%3AAldora_the_Daring,Aldora the Daring,Creature,Nord,True,an,Clockwork City,Strength,3,3,3,Legendary,,"Treasure Hunt – Action, Creature, Item, Support: +6/+6When a friendly treasure hunter finds something, summon Skywag or give Skywag +1/+1."
https://en.uesp.net/wiki/Legends%3AAlduin,Alduin,Creature,Dragon,True,ap,Heroes of Skyrim,Neutral,20,12,12,Legendary,New Life Festival Pack 2017,"Cost 2 less for each Dragon in your discard pile.Summon: Destroy all other creatures.At the start of your turn, summon a random dragon from your discard pile."
https://en.uesp.net/wiki/Legends%3AAlfe_Fyr,Alfe Fyr,Creature,Dark Elf,True,,Core Set,Intelligence,11,6,6,Legendary,Created,Summon: Deal 6 damage to a random enemy.
https://en.uesp.net/wiki/Legends%3AAlfiq_Conjurer,Alfiq Conjurer,Creature,Khajiit,False,vD,Moons of Elsweyr,Intelligence,6,3,3,Legendary,,"GuardSummon: Consume a creature to summon a Flame Atronach. If you consumed an Atronach, instead summon a Storm Atronach."
https://en.uesp.net/wiki/Legends%3AAlfiq_Illusionist,Alfiq Illusionist,Creature,Khajiit,False,wR,Moons of Elsweyr,Willpower,3,2,1,Rare,,Wax: Summon an Alfiq Illusionist in the other lane.Wane: +1/+2 and Guard.
https://en.uesp.net/wiki/Legends%3AAlik%27r_Bandit,Alik'r Bandit,Creature,Redguard,False,aq,Core Set,Strength,4,3,4,Epic,Unobtainable,"When Alik'r Bandit equips an item, he gains +1/+1."
https://en.uesp.net/wiki/Legends%3AAlik%27r_Survivalist,Alik'r Survivalist,Creature,Redguard,False,ar,Core Set,Strength,4,3,4,Epic,,"Summon: Put a Steel Dagger into your hand.When Alik'r Survivalist equips an item, he gains +1/+1."
https://en.uesp.net/wiki/Legends%3AAlisanne_Dupre,Alisanne Dupre,Support,,False,,Dark Brotherhood,Endurance,4,,,Legendary,Unobtainable,Ongoing You have +1 max magicka for each enemy killed by your creatures on your turn during this game.
https://en.uesp.net/wiki/Legends%3AAllena_Benoch,Allena Benoch,Creature,Wood Elf,True,as,Core Set,"Strength, Agility",6,1,1,Legendary,,LethalSummon: Deal 1 damage.
https://en.uesp.net/wiki/Legends%3AAlmalexia,Almalexia,Creature,God,True,at,Houses of Morrowind,Endurance,7,6,6,Legendary,,Exalt 3: +6/+6.Friendly Exalted creatures are immune to damage.
https://en.uesp.net/wiki/Legends%3AAlmalexia%27s_Disciple,Almalexia's Disciple,Creature,Dark Elf,False,au,Houses of Morrowind,Endurance,2,2,3,Rare,,Exalt 2: Heal all friendly creatures.
https://en.uesp.net/wiki/Legends%3AAlpha_Wolf,Alpha Wolf,Creature,Wolf,False,av,Core Set,Willpower,4,3,1,Epic,,Other friendly Wolves have +2/+0.
https://en.uesp.net/wiki/Legends%3AAltar_of_Despair,Altar of Despair,Support,,False,aw,Madhouse Collection,Neutral,6,,,Legendary,,"Uses: 12 Activate: Sacrifice a creature to summon a creature from your deck that costs 1, then increase the cost of creatures this summons by 1."
https://en.uesp.net/wiki/Legends%3AAltar_of_Meridia,Altar of Meridia,Support,,False,,Core Set,Neutral,0,,,Common,Unobtainable,Uses: 2 Activate: Destroy an Undead.
https://en.uesp.net/wiki/Legends%3AAltar_of_Spellmaking,Altar of Spellmaking,Support,,False,AY,Tamriel Collection,"Strength, Intelligence, Willpower",2,,,Epic,,"Ongoing At the end of each turn, if you played a creature, action, item, and support, play the top card of your deck."
https://en.uesp.net/wiki/Legends%3AAltmer_Dragonknight,Altmer Dragonknight,Creature,High Elf,False,ax,Monthly Card,"Intelligence, Willpower",3,3,2,Epic,,"At the end of your turn, if you played an action, Altmer Dragonknight gains +2/+2."
https://en.uesp.net/wiki/Legends%3AAltmer_Flameslinger,Altmer Flameslinger,Creature,High Elf,False,sw,Alliance War,Intelligence,2,1,3,Common,,"WardAt the start of your turn, Altmer Flameslinger deals 1 damage to your opponent."
https://en.uesp.net/wiki/Legends%3AAltmer_Protector,Altmer Protector,Creature,High Elf,False,,Core Set,Intelligence,2,0,4,Common,Unobtainable,Guard
https://en.uesp.net/wiki/Legends%3AAmbitious_Hireling,Ambitious Hireling,Creature,Wood Elf,False,ay,Houses of Morrowind,Willpower,2,1,1,Common,,Summon: Give another friendly creature power and health equal to Ambitious Hireling's power.
https://en.uesp.net/wiki/Legends%3AAmulet_of_Mara,Amulet of Mara,Item,,False,,Monthly Card,Willpower,0,,,Epic,Created,+0/+1The wielder can't attack other creatures equipped with an Amulet of Mara.
https://en.uesp.net/wiki/Legends%3AAn-Xileel_Invader,An-Xileel Invader,Creature,Argonian,False,az,Core Set,Agility,4,5,3,Common,,
https://en.uesp.net/wiki/Legends%3AAncano,Ancano,Creature,High Elf,True,aA,Heroes of Skyrim,Intelligence,8,5,5,Legendary,,BreakthroughSummon: Deal 5 damage.Your actions have Breakthrough.
https://en.uesp.net/wiki/Legends%3AAncestor%27s_Battleaxe,Ancestor's Battleaxe,Item,,False,aB,Heroes of Skyrim,Strength,7,,,Epic,,+4/+4Summon: Give the top creature of your deck +4/+4.
https://en.uesp.net/wiki/Legends%3AAncestral_Dead,Ancestral Dead,Creature,Skeleton,False,aC,Houses of Morrowind,Endurance,3,2,4,Common,,Slay: Summon a Risen Dead.
https://en.uesp.net/wiki/Legends%3AAncient_Giant,Ancient Giant,Creature,Giant,False,,Core Set,Neutral,X,varies,varies,Legendary,Created,
https://en.uesp.net/wiki/Legends%3AAncient_Lookout,Ancient Lookout,Creature,Skeleton,False,aD,Heroes of Skyrim,Endurance,2,2,3,Common,,"When you summon a Dragon, summon a 1/1 Draugr Sentry with Guard."
https://en.uesp.net/wiki/Legends%3AAncient_Prison,Ancient Prison,Support,,False,,Isle of Madness,Neutral,0,,,Common,Unobtainable,"Ongoing IndestructibleWhen a friendly creature is summoned, Shackle it and give it +2/+2."
https://en.uesp.net/wiki/Legends%3AAngry_Grahl,Angry Grahl,Creature,Troll,False,aE,Core Set,Endurance,4,2,4,Epic,,RegenerateSummon: +2/+2 if your opponent has more cards in hand.
https://en.uesp.net/wiki/Legends%3AAngry_Villager,Angry Villager,Creature,Nord,False,,Heroes of Skyrim,Neutral,1,1,1,Common,Created,
https://en.uesp.net/wiki/Legends%3AApex_Predator,Apex Predator,Creature,Khajiit,False,wz,Moons of Elsweyr,Agility,5,5,5,Epic,,"When Apex Predator moves, deal 2 damage to your opponent and you gain 2 health.At the end of your turn, if there are no enemy creatures in this lane, move Apex Predator."
https://en.uesp.net/wiki/Legends%3AApex_Wolf,Apex Wolf,Creature,Wolf,False,aF,FrostSpark Collection,Willpower,6,4,4,Epic,,"Breakthrough, DrainLast Gasp: Draw the top creature of your deck and give it Breakthrough and Drain."
https://en.uesp.net/wiki/Legends%3AApprentice_Necromancer,Apprentice Necromancer,Creature,Imperial,False,xb,Monthly Card,"Willpower, Endurance",3,3,3,Epic,,Summon: Summon a 1-cost creature from your discard pile.
https://en.uesp.net/wiki/Legends%3AApprentice%27s_Potion,Apprentice's Potion,Action,,False,aG,Core Set,Willpower,2,,,Common,Unobtainable,Gain 5 health.
https://en.uesp.net/wiki/Legends%3AArcanaeum_Librarian,Arcanaeum Librarian,Creature,Orc,False,aI,Clockwork City,Intelligence,2,0,2,Common,,Gains +1/+0 when you draw a card during your turn.
https://en.uesp.net/wiki/Legends%3AArcane_Enchanter,Arcane Enchanter,Support,,False,aH,Heroes of Skyrim,Intelligence,3,,,Epic,,"Ongoing When you draw an item, give it a random Keyword."
https://en.uesp.net/wiki/Legends%3AArchcanon_Saryoni,Archcanon Saryoni,Creature,Dark Elf,True,aJ,Houses of Morrowind,"Intelligence, Willpower, Endurance",4,3,3,Legendary,,Summon: Choose a blessing from one of the Tribunal gods.Exalt 3: Gain all three blessings instead.
https://en.uesp.net/wiki/Legends%3AArchein_Elite,Archein Elite,Creature,Argonian,False,aK,Core Set,Endurance,4,3,5,Rare,,Lethal
https://en.uesp.net/wiki/Legends%3AArchein_Guerrilla,Archein Guerrilla,Creature,Argonian,False,aL,Core Set,Endurance,4,2,4,Rare,Unobtainable,Lethal
https://en.uesp.net/wiki/Legends%3AArchein_Venomtongue,Archein Venomtongue,Creature,Argonian,False,aM,Core Set,Endurance,4,1,4,Rare,,LethalSlay: Gain +1 max magicka.
https://en.uesp.net/wiki/Legends%3AArcher%27s_Gambit,Archer's Gambit,Action,,False,aN,Heroes of Skyrim,"Strength, Agility",3,,,Rare,,"Move a friendly creature. Then, it deals 1 damage."
https://en.uesp.net/wiki/Legends%3AArcher%27s_Perch,Archer's Perch,Support,,False,,Dark Brotherhood,Neutral,0,,,Epic,Unobtainable,"Ongoing When a friendly creature attacks, it deals 1 damage to your opponent."
https://en.uesp.net/wiki/Legends%3AArenthia_Guerrilla,Arenthia Guerrilla,Creature,Wood Elf,False,xk,Jaws of Oblivion,Agility,3,3,4,Common,,Lethal on your opponent's turn.
https://en.uesp.net/wiki/Legends%3AArenthia_Swindler,Arenthia Swindler,Creature,Khajiit,False,aO,Core Set,Agility,3,2,2,Epic,,Summon: Steal all items from an enemy creature.
https://en.uesp.net/wiki/Legends%3AArgonian_Recruit,Argonian Recruit,Creature,Argonian,False,,Core Set,Endurance,1,1,1,Common,Unobtainable,
https://en.uesp.net/wiki/Legends%3AArgonian_Veteran,Argonian Veteran,Creature,Argonian,False,,Core Set,Endurance,3,3,3,Common,Created,
https://en.uesp.net/wiki/Legends%3AArise,Arise,Action,,False,wP,Moons of Elsweyr,Endurance,2,,,Common,,ProphecySummon a 1/1 Risen Dead with Guard in each lane.
https://en.uesp.net/wiki/Legends%3AArmored_Troll,Armored Troll,Creature,Troll,False,,Dawnguard,"Willpower, Endurance",5,3,7,Epic,,RegenerateArmored Troll is immune to damage on your turn.
https://en.uesp.net/wiki/Legends%3AArrest,Arrest,Action,,False,aP,Heroes of Skyrim,Willpower,7,,,Rare,,"Steal an enemy creature. It loses Guard, and is permanently Shackled."
https://en.uesp.net/wiki/Legends%3AArrow_in_the_Knee,Arrow in the Knee,Action,,False,aQ,Core Set,Agility,1,,,Common,,Shackle a creature and deal 1 damage to it.
https://en.uesp.net/wiki/Legends%3AArrow_Storm,Arrow Storm,Action,,False,zN,Core Set,Willpower,3,,,Rare,Tri-Color Gauntlet September 2021,Destroy all enemy creatures with 2 power or less in a lane.
https://en.uesp.net/wiki/Legends%3AArtaeum_Savant,Artaeum Savant,Creature,High Elf,False,aS,Core Set,Willpower,3,1,4,Epic,,"After you play an action, give a random friendly creature +1/+1."
https://en.uesp.net/wiki/Legends%3AAscended_Sleeper,Ascended Sleeper,Creature,Ash Creature,False,aT,Houses of Morrowind,"Strength, Intelligence, Agility",6,3,6,Rare,,"GuardAt the end of your turn, if you have a creature with 5 power or more, reduce the cost of all creatures in your hand by 1."
https://en.uesp.net/wiki/Legends%3AAsh_Berserker,Ash Berserker,Creature,Ash Creature,False,aU,Houses of Morrowind,Strength,4,3,3,Rare,,"At the end of your turn, if you have a creature with 5 power or more, draw a card."
https://en.uesp.net/wiki/Legends%3AAsh_Oppressor,Ash Oppressor,Creature,Ash Creature,False,aV,Houses of Morrowind,Agility,3,4,3,Common,,"Summon: If you have a creature with 5 power or more, Shackle an enemy creature."
https://en.uesp.net/wiki/Legends%3AAsh_Piercer,Ash Piercer,Creature,Ash Creature,False,aW,Houses of Morrowind,Intelligence,5,3,4,Rare,,Summon: Deal 3 damage to a creature if you have a creature with 5 power or more.
https://en.uesp.net/wiki/Legends%3AAsh_Servant,Ash Servant,Creature,Ash Creature,False,aY,Core Set,Intelligence,4,2,2,Rare,Starter Pack,Summon: Deal 2 damage to a creature.
https://en.uesp.net/wiki/Legends%3AAshlander_Punisher,Ashlander Punisher,Creature,Dark Elf,False,aZ,Monthly Card,"Strength, Agility",4,5,4,Epic,,BreakthroughPilfer and Slay: +1/+0
https://en.uesp.net/wiki/Legends%3AAshlander_Zealot,Ashlander Zealot,Creature,Dark Elf,False,bc,Houses of Morrowind,Strength,1,1,2,Common,,Summon: Battle an enemy creature.
https://en.uesp.net/wiki/Legends%3AAspect_of_Hircine,Aspect of Hircine,Creature,"Werewolf, Daedra",False,bd,Houses of Morrowind,Strength,9,6,6,Legendary,,Summon: Choose one:Strength: +6/+6 and Guard.Speed: Gains Charge.
https://en.uesp.net/wiki/Legends%3AAssassin_Beetle,Assassin Beetle,Creature,Beast,False,tv,Alliance War,Agility,5,2,2,Rare,,ProphecySummon: Play a Prophecy from your hand.
https://en.uesp.net/wiki/Legends%3AAssassin%27s_Bow,Assassin's Bow,Item,,False,be,Core Set,Strength,3,,,Rare,,+3/+0Summon: Give the wielder Cover at the end of turn.
https://en.uesp.net/wiki/Legends%3AAssassin%27s_Ritual,Assassin's Ritual,Action,,False,bf,Heroes of Skyrim,"Intelligence, Agility",3,,,Rare,,Give a creature Lethal and Ward.
https://en.uesp.net/wiki/Legends%3AAssembled_Conduit,Assembled Conduit,Creature,Factotum,False,bg,Clockwork City,Neutral,5,3,3,Common,,Assemble: +1/+0 and Breakthrough or +0/+1 and Regenerate.
https://en.uesp.net/wiki/Legends%3AAssembled_Sanitizer,Assembled Sanitizer,Creature,Factotum,False,bh,Clockwork City,Neutral,3,1,2,Common,,Assemble: +2/+0 or Lethal.
https://en.uesp.net/wiki/Legends%3AAssembled_Sentry,Assembled Sentry,Creature,Factotum,False,bi,Clockwork City,Neutral,2,1,1,Common,,Assemble: +0/+2 or Guard.
https://en.uesp.net/wiki/Legends%3AAssembled_Titan,Assembled Titan,Creature,Factotum,True,bj,Clockwork City,Neutral,6,4,4,Legendary,,"Assemble: Choose two: +2/+0, +0/+2, deal 2 damage to your opponent, or you gain 2 health."
https://en.uesp.net/wiki/Legends%3AAstrid,Astrid,Creature,Nord,True,bk,Dark Brotherhood,Agility,3,2,3,Legendary,,"LethalFriendly Lethal creatures have ""Slay: Put a Completed Contract into your hand."""
https://en.uesp.net/wiki/Legends%3AAttuned_Dremora,Attuned Dremora,Creature,Daedra,False,yD,Jaws of Oblivion,Intelligence,5,4,5,Rare,,Summon: Gain all Keywords friendly creatures have.
https://en.uesp.net/wiki/Legends%3AAundae_Clan_Sorcerer,Aundae Clan Sorcerer,Creature,Vampire,False,bl,Houses of Morrowind,Endurance,3,4,3,Legendary,,"At the end of your turn, if three or more creatures died this turn, put a random Blood Magic Spell into your hand."
https://en.uesp.net/wiki/Legends%3AAuridon_Paladin,Auridon Paladin,Creature,High Elf,False,bm,Core Set,Willpower,4,4,4,Common,,"When you play an action, Auridon Paladin gains Drain this turn."
https://en.uesp.net/wiki/Legends%3AAuroran_Sentry,Auroran Sentry,Creature,Daedra,False,bn,Core Set,Willpower,8,5,7,Legendary,,"GuardWhen Auroran Sentry is dealt damage, you gain that much health."
https://en.uesp.net/wiki/Legends%3AAvatar_of_Akatosh,Avatar of Akatosh,Creature,Dragon,True,,Jaws of Oblivion,"Agility, Endurance",4,30,30,Legendary,Created,
https://en.uesp.net/wiki/Legends%3AAwakened_Dreamer,Awakened Dreamer,Creature,Dark Elf,False,bo,Houses of Morrowind,Agility,2,2,3,Rare,,"At the end of your turn, if you have a creature with 5 power or more, Awakened Dreamer gains +1/+1."
https://en.uesp.net/wiki/Legends%3AAwakened_Imperfect,Awakened Imperfect,Creature,Automaton,False,bp,Clockwork City,Neutral,8,8,8,Rare,,"Breakthrough, Guard"
https://en.uesp.net/wiki/Legends%3AAyleid_Guardian,Ayleid Guardian,Creature,Defense,False,yW,Monthly Card,"Agility, Endurance",11,8,8,Epic,,GuardImmune to Lethal.Summon: Summon an Ayleid Guardian in the other lane.
https://en.uesp.net/wiki/Legends%3AAyrenn,Ayrenn,Creature,High Elf,True,bq,Core Set,"Intelligence, Willpower",5,5,5,Legendary,,Summon: Draw a random action from your discard pile.Your actions cost 1 less.
https://en.uesp.net/wiki/Legends%3AAyrenn%27s_Chosen,Ayrenn's Chosen,Action,,False,tb,Alliance War,"Intelligence, Willpower, Agility",6,,,Epic,,Summon a random 1/1 Recruit in each lane and give them Guard.Empower: +1/+1.
https://en.uesp.net/wiki/Legends%3AAyrenn%2C_Dominion_Queen,"Ayrenn, Dominion Queen",Creature,High Elf,True,sx,Alliance War,"Intelligence, Willpower, Agility",8,6,6,Legendary,,"DrainSummon: Draw a random action from your discard pile.When you draw an action on your turn, deal 1 damage to your opponent."
https://en.uesp.net/wiki/Legends%3ABaandari_Bruiser,Baandari Bruiser,Creature,Khajiit,False,br,Core Set,Agility,3,3,2,Common,,Pilfer: +3/+0
https://en.uesp.net/wiki/Legends%3ABaandari_Opportunist,Baandari Opportunist,Creature,Khajiit,False,zp,Alliance War,Agility,1,1,1,Epic,Grand Melee August 2020,"ChargePilfer: Shuffle a Baandari Opportunist with ""Summon: Draw a card"" into your deck."
https://en.uesp.net/wiki/Legends%3ABaandari_Outlaw,Baandari Outlaw,Creature,Khajiit,False,,Core Set,Agility,2,2,2,Common,Unobtainable,
https://en.uesp.net/wiki/Legends%3ABack-Alley_Footpad,Back-Alley Footpad,Creature,Dark Elf,False,ta,Alliance War,Agility,0,1,1,Common,,Summon: Give a creature Cover.
https://en.uesp.net/wiki/Legends%3ABack-Alley_Rogue,Back-Alley Rogue,Creature,Dark Elf,False,bs,Clockwork City,Agility,4,5,3,Rare,,Summon: Steal Cover from another creature.
https://en.uesp.net/wiki/Legends%3ABal_Isra_Warrider,Bal Isra Warrider,Creature,Redguard,False,bt,Houses of Morrowind,Endurance,5,3,6,Common,,Rally
https://en.uesp.net/wiki/Legends%3ABaliwog,Baliwog,Creature,Grummite,False,oT,Isle of Madness,Willpower,2,2,1,Common,,
https://en.uesp.net/wiki/Legends%3ABaliwog_Tidecrawlers,Baliwog Tidecrawlers,Creature,Grummite,False,po,Isle of Madness,Endurance,4,2,6,Common,,Guard
https://en.uesp.net/wiki/Legends%3ABaliwog_Tidecrawlers-Smoked_Baliwog_Leg,Baliwog Tidecrawlers/Smoked Baliwog Leg,Creature and Action,Grummite,False,po,Isle of Madness,Endurance,4,2,6,Common,Double Card,Baliwog Tidecrawlers and Smoked Baliwog Leg
https://en.uesp.net/wiki/Legends%3ABalmora_Captain,Balmora Captain,Creature,Dark Elf,False,bu,Houses of Morrowind,Willpower,5,4,4,Legendary,,Rally 2Your other Rallies give an extra +1/+1.
https://en.uesp.net/wiki/Legends%3ABalmora_Puppeteer,Balmora Puppeteer,Creature,Dark Elf,False,bv,Houses of Morrowind,"Strength, Willpower, Agility",2,2,2,Rare,,Plot: +1/+1 for each other card you've played this turn.
https://en.uesp.net/wiki/Legends%3ABalmora_Spymaster,Balmora Spymaster,Creature,Dark Elf,False,bw,Core Set,Intelligence,2,0,1,Epic,,Last Gasp: Summon a random creature with cost less than or equal to your max magicka.
https://en.uesp.net/wiki/Legends%3ABandit_Ambush_%28card%29,Bandit Ambush,Action,,False,,Core Set,Agility,5,,,Epic,Unobtainable,Summon two 1/1 Cruel Bandits in each lane.
https://en.uesp.net/wiki/Legends%3ABandit_Ringleader,Bandit Ringleader,Creature,Khajiit,False,bx,Heroes of Skyrim,Willpower,6,3,5,Epic,,"Summon: Other friendly creatures in this lane gain ""Pilfer: Draw a card"" this turn."
https://en.uesp.net/wiki/Legends%3ABangkorai_Butcher,Bangkorai Butcher,Creature,Orc,False,by,Core Set,Strength,4,4,3,Common,,Summon: +2/+2 if you have another Orc.
https://en.uesp.net/wiki/Legends%3ABarbas,Barbas,Creature,"Daedra, Beast",True,bz,Heroes of Skyrim,Neutral,5,3,3,Legendary,,Summon: Choose one:Stay: Gains +1/+1 and Guard.Fetch: Put a random Daedra into your hand. Roll Over: Gains Charge
https://en.uesp.net/wiki/Legends%3ABarded_Guar,Barded Guar,Creature,Reptile,False,bA,Core Set,Neutral,3,3,3,Common,,Summon: Give a creature Guard.
https://en.uesp.net/wiki/Legends%3ABarilzar%27s_Tinkering,Barilzar's Tinkering,Action,,False,bB,Houses of Morrowind,Intelligence,2,,,Rare,,BetrayTransform a creature into a random creature that costs 1 more.
https://en.uesp.net/wiki/Legends%3ABaron_Navir,Baron Navir,Creature,Dark Elf,False,,Isle of Madness,Neutral,4,2/4,4/8,Common,Unobtainable,"At the end of your turn, Baron Navir battles a random enemy creature in this lane. If there are none, he moves."
https://en.uesp.net/wiki/Legends%3ABaron_of_Tear,Baron of Tear,Creature,Dark Elf,False,bC,Core Set,Intelligence,4,3,3,Rare,,Summon: Give other friendly creatures +1/+0 and Guard.
https://en.uesp.net/wiki/Legends%3ABarrow_Stalker,Barrow Stalker,Creature,Vampire,False,bD,Clockwork City,Endurance,2,2,3,Rare,,"Drain, Guard"
https://en.uesp.net/wiki/Legends%3ABarter,Barter,Action,,False,Ai,Heroes of Skyrim,Agility,2,,,Epic,,Trade a card in your hand for a random card in your opponent's hand.
https://en.uesp.net/wiki/Legends%3ABattle_of_Chalman_Keep,Battle of Chalman Keep,Action,,True,sB,Alliance War,Neutral,5,,,Legendary,,Each player fills each lane with 1/1 Recruits.Give all creatures Guard.
https://en.uesp.net/wiki/Legends%3ABattle_of_the_Gods,Battle of the Gods,Support,,True,,Clockwork City,Neutral,0,,,Legendary,Unobtainable,"Ongoing At the start of each player's turn, they refill their hand to four cards."
https://en.uesp.net/wiki/Legends%3ABattlefield_Scrounger,Battlefield Scrounger,Creature,Redguard,False,bF,Heroes of Skyrim,Strength,5,3,3,Rare,,ChargeSlay: Put a random item into your hand.
https://en.uesp.net/wiki/Legends%3ABattlemage%27s_Onslaught,Battlemage's Onslaught,Action,,False,bG,Heroes of Skyrim,"Strength, Intelligence",4,,,Rare,,"Put a random action, item, and creature into your hand."
https://en.uesp.net/wiki/Legends%3ABattlerage_Orc,Battlerage Orc,Creature,Orc,False,zH,Core Set,Strength,3,2,3,Common,Witches Festival Card Bundle,Charge
https://en.uesp.net/wiki/Legends%3ABattlereeve_of_Dusk,Battlereeve of Dusk,Creature,High Elf,False,bI,Monthly Card,Intelligence,6,3,3,Epic,,Summon: Give friendly creatures +1/+1 for each Keyword they have.
https://en.uesp.net/wiki/Legends%3ABe_At_Peace,Be At Peace,Action,,False,wt,Moons of Elsweyr,Willpower,3,,,Common,,ProphecySet a creature's power to 1.
https://en.uesp.net/wiki/Legends%3ABeastcaller_Ring,Beastcaller Ring,Support,,False,,Core Set,Neutral,0,,,Epic,Unobtainable,Ongoing All creatures cost 1 less.
https://en.uesp.net/wiki/Legends%3ABedeviling_Scamp,Bedeviling Scamp,Creature,Daedra,False,bJ,Isle of Madness,Strength,3,3,3,Common,,All cards cost a minimum of 3.
https://en.uesp.net/wiki/Legends%3ABedlam,Bedlam,Action,,False,xx,Jaws of Oblivion,Willpower,1,,,Common,,Put two 1/1 Scamps into your hand.
https://en.uesp.net/wiki/Legends%3ABelligerent_Giant,Belligerent Giant,Creature,Giant,False,zE,Core Set,Strength,7,7,4,Epic,Grand Melee May-June 2020,"BreakthroughSummon: Unsummon a creature in this lane, or destroy an enemy support."
https://en.uesp.net/wiki/Legends%3ABeloved_Squealer,Beloved Squealer,Creature,Beast,False,,Dark Brotherhood,Neutral,1,0,4,Common,Unobtainable,Immune to Silence. May run off at the start of your turn.Last Gasp: You lose.
